station_id,station_name,subbasin_id,latitude,longitude,elevation_m,total_precipitation_mm,peak_intensity_mm_hr,time_of_peak_utc
KARVEER,Karveer,SUB_PANCHGANGA_LOWER,16.706369,74.2481772,550.0,6.2,0.5,2026-09-03 03:30:00
SANGARUL,Sangarul,SUB_KUMBHI_MID,16.6841962,74.0931627,572.0,9.7,0.6,2026-09-02 03:30:00
KOTOLI,Kotoli,SUB_KASARI_UPPER,16.7820174,74.0518705,585.0,11.5,0.9,2026-09-02 03:30:00
KARANJPHEN,Karanjphen,SUB_GHATS_UPPER,16.7850973,73.9036487,640.0,55.4,2.3,2026-09-03 03:30:00
SALWAN,Salwan,SUB_BHOGAWATI_MID,16.671222,73.973457,595.0,25.5,1.3,2026-09-03 02:30:00
BEED,Beed,SUB_TULSHI_CONFLUENCE,16.647984,74.1288964,565.0,9.9,1.0,2026-09-03 02:30:00
RADHANAGARI,Radhanagari,SUB_RADHANAGARI_DAM,16.41021,73.9971822,615.0,38.1,1.4,2026-09-01 01:30:00
