subbasin_id,selected_station_id,selected_station_name,total_rainfall_mm,candidate_stations
SUB_PANCHGANGA_LOWER,SUB_PANCHGANGA_LOWER_CENTROID,SUB_PANCHGANGA_LOWER Subbasin Centroid,6.2,SUB_PANCHGANGA_LOWER_CENTROID
SUB_KUMBHI_MID,SUB_KUMBHI_MID_CENTROID,SUB_KUMBHI_MID Subbasin Centroid,9.7,SUB_KUMBHI_MID_CENTROID
SUB_KASARI_UPPER,SUB_KASARI_UPPER_CENTROID,SUB_KASARI_UPPER Subbasin Centroid,11.5,SUB_KASARI_UPPER_CENTROID
SUB_GHATS_UPPER,SUB_GHATS_UPPER_CENTROID,SUB_GHATS_UPPER Subbasin Centroid,55.4,SUB_GHATS_UPPER_CENTROID
SUB_BHOGAWATI_MID,SUB_BHOGAWATI_MID_CENTROID,SUB_BHOGAWATI_MID Subbasin Centroid,25.5,SUB_BHOGAWATI_MID_CENTROID
SUB_TULSHI_CONFLUENCE,SUB_TULSHI_CONFLUENCE_CENTROID,SUB_TULSHI_CONFLUENCE Subbasin Centroid,9.9,SUB_TULSHI_CONFLUENCE_CENTROID
SUB_RADHANAGARI_DAM,SUB_RADHANAGARI_DAM_CENTROID,SUB_RADHANAGARI_DAM Subbasin Centroid,38.1,SUB_RADHANAGARI_DAM_CENTROID
